1306466,322195,317121,267286,247885,245632,209426,175924,215769,149419,166487,142734,135277,121356,144643,150065,151695,147730,134705,152647,144076,101209,95204,86989,88962,86526,116571,130889,132540,134331,118183,148365,135120,185614,141902,132639,153503,214605,128039,134087,131449,126566,122374,131932,151596,151272,158511,118156,130153,116838,
1466683,602283,614180,568868,667100,1261379,575251,578745,656349,453092,409898,409259,406194,402301,401577,408414,426510,417444,394986,398488,386808,392771,371813,382078,398707,423928,436276,976036,774012,451415,420369,410524,403964,412766,404328,435098,413137,399373,399929,501979,399430,377190,424596,341443,284914,246294,268549,263418,240663,231323,
928453,898402,965747,944815,537742,389658,382354,347075,368522,340161,380393,339704,340387,356882,366900,354139,370217,372889,329737,330299,311760,312941,309370,314128,307657,308953,297254,341568,346033,381850,835304,319616,343309,327889,322189,310908,332634,310343,306709,607701,477738,447451,440451,437325,423294,413103,415153,430433,479238,418739,
912721,897197,851653,842884,847287,1018152,874901,860611,851467,906724,869144,861371,854925,933090,813776,802854,778057,820396,840128,801211,975923,899370,841247,872324,894693,3165121,634544,622107,636116,614016,768475,718133,703432,631114,623700,638663,623540,615991,641263,1760617,1049990,1035093,640876,380574,307305,488721,298660,330441,290569,310302,
1159861,1588820,2802246,1105544,1172104,1247309,1248822,1111752,1091628,1233537,1694538,1269565,10675158,1136319,1257738,1724008,7748404,1246664,1798604,1218088,1492007,1236929,1144673,8759670,1193977,1131909,1729210,1142558,1724471,1281319,2900667,1353587,1352175,1272534,9163639,1232285,1469722,1243218,1217859,1401487,1207260,4880972,1429126,841641,1103680,900097,847466,906611,815461,774035,
1505446,2995584,1951679,1656522,1886667,1687392,1752139,1671647,1844207,1682995,1732400,1599980,2507085,1680910,1941671,1749484,2054040,2460158,3467469,2310344,9423825,1961937,1914680,2305571,1987749,1806456,1993880,1735125,1961047,1831505,8542637,1395188,1507596,1265903,1475305,1371334,1466029,1368463,3151547,1480382,1535377,1340334,1762260,1614820,1533229,1245477,1605274,1280095,1412902,1197177,
1391925,1340383,1435178,1306757,1217455,1360868,17178624,685848,800019,5231621,946392,768106,701515,703248,745939,718018,711276,739671,698719,704743,684156,753853,697092,697914,646749,711343,698331,662352,732089,714717,705194,680281,654413,724812,1091877,2230441,752213,746449,740500,833249,804477,892056,806314,961656,851960,787465,809502,717670,822955,737530,
2223013,2170587,2031997,2086974,2237604,2052455,2100995,2090124,2206198,1959055,2029439,1979017,2124232,2314399,6161520,1162973,1524770,3026281,1110094,1839899,1172747,1083027,1261653,1295350,1155820,1299036,1181366,1203747,1005489,1038709,1355486,1166810,1594817,1037466,1040758,1002127,926585,1006311,1005277,1083017,1577097,1188309,571437,641344,616300,2548214,545869,536296,576629,521893,
1471802,912363,814650,1114115,7613512,832599,734409,1985073,788381,945444,1324618,854614,727636,804813,739217,760406,733416,698559,696495,836412,767807,721806,695927,1138952,715965,710519,773837,648846,873989,824285,832516,795478,773019,749858,724629,681336,883712,726764,697962,769165,1270054,825185,670963,710275,824549,731425,922203,844699,952405,1094564,
2202543,1776007,3844182,2419561,1987593,1912591,1805959,1893181,1854145,1795952,3592607,2202854,1946868,1909009,1869911,2099475,1743444,3650446,2421849,1876955,1900691,1832548,1842205,2063779,1739678,2526710,2625861,1878099,1593284,5515265,1102247,1004689,960128,740595,1528898,1375438,1588822,1042410,940402,779491,726287,738997,700584,769560,683957,686401,1074916,741001,737204,684671,
2155885,3472049,2808017,2193531,2108371,1995020,2276197,1900754,3590859,2765470,2040459,2102628,2025403,2330756,1971505,2530692,2506257,2543697,2125178,2047262,2077591,2444147,2306459,2227750,2767782,4327957,3442208,2646191,4491614,2233154,2003457,2235486,1899784,2318962,6677678,1152078,1152321,1162389,895736,1001348,868983,852823,911005,1011069,753930,775088,803401,2552209,1099698,1216310,
